Date,IBM,T,NKE,AAPL
9/24/15,144.410004,32.110001,114.790001,115
9/23/15,143.660004,32.200001,115.43,114.32
9/22/15,144.429993,32.27,115.970001,113.400002
9/21/15,146.479996,32.560001,116.559998,115.209999
9/18/15,144.509995,32.549999,115.050003,113.449997
9/17/15,148.139999,32.779999,115.269997,113.919998
9/16/15,148.410004,32.939999,115.580002,116.410004
9/15/15,147.529999,32.860001,113.839996,116.279999
9/14/15,145.649994,32.549999,111.889999,115.309998
9/11/15,147.369995,32.720001,111.82,114.209999
9/10/15,146.199997,32.75,110.379997,112.57
9/9/15,145.050003,32.779999,109.860001,110.150002
9/8/15,147.229996,33.139999,111.75,112.309998
9/4/15,143.699997,32.560001,109.690002,109.269997
9/3/15,146.779999,33.040001,110.849998,110.370003
9/2/15,145.050003,32.82,110.699997,112.339996
9/1/15,142.679993,32.32,108.629997,107.720001
8/31/15,147.889999,33.200001,111.75,112.760002
8/28/15,147.979996,33.290001,112.5,113.290001
8/27/15,148.539993,33.439999,112.620003,112.919998
8/26/15,146.699997,32.689999,108.760002,109.690002
8/25/15,140.960007,31.799999,103.529999,103.739998
8/24/15,143.470001,32.369999,103.870003,103.120003
8/21/15,148.850006,33.380001,106.870003,105.760002
8/20/15,152.660004,33.950001,112.300003,112.650002
8/19/15,153.940002,34.360001,114.959999,115.010002
8/18/15,156.009995,34.349998,114.82,116.5
8/17/15,156.309998,34.23,114.980003,117.160004
8/14/15,155.75,34.049999,114.360001,115.959999
8/13/15,155.070007,33.810001,113.599998,115.150002
8/12/15,156.160004,34.02,113.059998,115.239998
8/11/15,155.509995,34.650002,114.459999,113.489998
8/10/15,156.75,34.779999,115.360001,119.720001
8/7/15,155.119995,34.209999,114.510002,115.519997
8/6/15,156.320007,34.240002,115.120003,115.129997
8/5/15,157.899994,34.57,116.75,115.400002
8/4/15,157.600006,34.580002,115.769997,114.639999
8/3/15,158.710007,34.66,114.830002,118.440002
7/31/15,161.990005,34.740002,115.220001,121.300003
7/30/15,160.960007,34.799999,115.010002,122.370003
7/29/15,161.089996,34.689999,114.919998,122.989998
7/28/15,160.050003,34.330002,113.470001,123.379997
7/27/15,159.070007,34.32,111.730003,122.769997
7/24/15,159.75,34.290001,112.989998,124.5
7/23/15,161.729996,33.93,114,125.160004
7/22/15,160.350006,34.27,114.089996,125.220001
7/21/15,163.070007,34.57,112.989998,130.75
7/20/15,173.220001,34.900002,113.129997,132.070007
7/17/15,172.509995,35.009998,112.800003,129.619995
7/16/15,171,35.16,112.339996,128.509995
7/15/15,168.529999,34.73,111.900002,126.82
7/14/15,168.610001,35.119999,112.339996,125.610001
7/13/15,169.380005,34.880001,112.410004,125.660004
7/10/15,166.949997,34.650002,110.519997,123.279999
7/9/15,163.850006,34.389999,109.440002,120.07
7/8/15,163.160004,34.790001,109.269997,122.57
7/7/15,165,35.77,111.290001,125.690002
7/6/15,164.729996,35.610001,109.839996,126
7/2/15,165.089996,35.73,109.870003,126.440002
7/1/15,164.490005,35.57,109.43,126.599998
6/30/15,162.660004,35.52,108.019997,125.43
6/29/15,162.970001,35.77,107.669998,124.529999
6/26/15,165.460007,36.119999,109.709999,126.75
6/25/15,166.080002,36.18,105.220001,127.5
6/24/15,166.970001,35.779999,106.220001,128.110001
6/23/15,168.619995,35.91,107.199997,127.029999
6/22/15,167.729996,35.040001,106.790001,127.610001
6/19/15,166.990005,34.990002,106.529999,126.599998
6/18/15,168.25,35.02,106,127.879997
6/17/15,167.169998,34.799999,104.75,127.300003
6/16/15,166.839996,34.669998,104.559998,127.599998
6/15/15,166.259995,34.41,103.349998,126.919998
6/12/15,166.990005,34.650002,103.779999,127.169998
6/11/15,168.779999,34.880001,103.879997,128.589996
6/10/15,168.919998,34.720001,103.339996,128.880005
6/9/15,165.679993,34.509998,101.349998,127.419998
6/8/15,165.339996,34.59,101.440002,127.800003
6/5/15,167.399994,34.57,102.029999,128.649994
6/4/15,168.380005,35.27,101.949997,129.360001
