Date,AMZN,GOOG,AAPL
2014-11-07,299.859985,539.528748,103.562462
2014-11-06,296.640015,540.555908,103.267952
2014-11-05,296.519989,544.425293,102.97345
2014-11-04,302.809998,552.592834,102.727509
2014-11-03,305.720001,553.699829,103.484245
2014-10-31,305.459991,557.549255,102.15995
2014-10-30,299.070007,548.803284,101.195114
2014-10-29,294.119995,547.825928,101.535629
2014-10-28,295.589996,547.397095,100.968079
2014-10-27,289.970001,539.289368,99.426224
2014-10-24,287.059998,538.302063,99.530258
2014-10-23,313.179993,542.490601,99.161377
2014-10-22,312.970001,531.251465,97.420868
2014-10-21,315.329987,525.098328,96.92897
2014-10-20,306.209991,519.41394,94.365532
2014-10-17,303.640015,509.770416,92.388535
2014-10-16,302.859985,523.073914,91.054794
2014-10-15,305.970001,528.578796,92.265572
2014-10-14,308.309998,536.467102,93.410141
2014-10-13,306.450012,531.750061,94.412827
2014-10-10,311.390015,542.999207,95.283066
2014-10-09,315.369995,559.344299,95.557373
2014-10-08,322.700012,570.932495,95.349274
2014-10-07,316.980011,562.196472,93.410141
2014-10-06,322.200012,575.769226,94.233101
2014-10-03,322.73999,573.704895,94.233101
2014-10-02,318.410004,568.519104,94.497955
2014-10-01,317.459991,566.714111,93.816879
